name,email,grade,blog
Random,jane@janedoe.com,A,https://blog.janedoe.com
Names,Names@Namesdoe.com,A,https://blog.Namesdoe.com
Bernice,Bernice@Bernicedoe.com,A,https://blog.Bernicedoe.com
Melia,Melia@Meliadoe.com,A,https://blog.Meliadoe.com
Mila,mila@miladoe.com,A,https://blog.miladoe.com
Daniel,Daniel@Danieldoe.com,A,https://blog.Danieldoe.com
Ellen,Ellen@Ellendoe.com,A,https://blog.Ellendoe.com
Winters,Winters@Wintersdoe.com,A,https://blog.Wintersdoe.com
Thorpe,Thorpe@Thorpedoe.com,A,https://blog.Thorpedoe.com
Axel,Axel@Axeldoe.com,A,https://blog.Axeldoe.com
Walters,Walters@Waltersdoe.com,A,https://blog.Waltersdoe.com
Costa,Costa@Costadoe.com,A,https://blog.Costadoe.com
Cannon,Cannon@Cannondoe.com,A,https://blog.Cannondoe.com
Harlen,Harlen@Harlendoe.com,A,https://blog.Harlendoe.com
Aguirre,Aguirre@Aguirredoe.com,A,https://blog.Aguirredoe.com
John,jane@janedoe.com,A,https://blog.johndoe.com
John,john@johndoe.com,A,https://blog.johndoe.com;
